,Title,Description,Topic,Subject Area,Score,type
1688,EPA Workers Rally To Get Rid Of Scott Pruitt,"The embattled administrator has created a ""frightening environment"" where workers are afraid to speak the truth, an 18-year employee of the agency said.",politics,news,0.8873296943596876,
62617,Duck Dynasty's Willie Robertson Is Getting His Own Fox News Podcast,He's going to talk about faith and family.,media,news,0.6798611676069958,1 - Topic determined by algorithm
7405,Movement Against Juvenile Court Fees Runs Into Resistance,"In almost every state and the District of Columbia, the minors who appear in the roughly one million juvenile court cases",politics,news,0.08835587579007409,
110204,I on Beauty: Chapter 8 - Living Better with Pets,"I have been a pet owner my entire life.  My pets are my children, friends, and most definitely my biggest fans.  My life wouldn't be the same without them, and most likely, neither would my health.",fifty,news,0.9395113160276622,
184722,Narcolepsy Remains Misunderstood and Underdiagnosed,"It is not normal to constantly feel sleepy or have involuntary sleep attacks after a good night's rest. While some physicians have difficulty diagnosing narcolepsy, there are many institutions around the country that are capable of providing proper testing and treatment.",wellness,news,0.0455733776198598,1 - Topic determined by algorithm
122564,"60 Years After Brown: Segregated Schools Still a Fact, but Don't Have to Be Bad Schools","The blame for the chronic school re-segregation is the deep persistence of housing discrimination, poverty, and the near universal refusal of federal and state courts to get involved in any more school desegregation cases.",black voices,news,0.4691166171378613,1 - Topic determined by algorithm
196272,5 Irish Pubs For Celebrating St. Patrick's Day (PHOTOS),We're pretty excited about all the beef stew and Bailey's we plan on imbibing this weekend.,travel,news,0.9091528202147832,3 - Topic calculated with low confidence score and no subject area available
161717,"Talk ""To"", Not ""At"", Your Child During And After Divorce","Too often, busy parents find themselves talking ""at"" their children, but not ""to"" them. And most especially, not ""with"" them.",divorce,news,0.8445624246663287,1 - Topic determined by algorithm
152077,What You Didn't Know About The 'Back To The Future' Homes (PHOTOS),"The houses still stand, but one is noteworthy for a completely different reason.",home & living,news,0.2637757182447227,3 - Topic calculated with low confidence score and no subject area available
200065,Conversation With a Dying Man,"Neil Millman wanted to give me some pointers about what was ahead of me.  As I walked into his hospice room, I knew it could just as easily have been my room. The cancer that is attacking his body is the result of taking drugs for years that kept his transplanted kidney alive.",wellness,news,0.8904096128614181,
181532,Vogue September 2012 Issue Has A Weight Problem: Heavy Magazines Lead To Mail Woes,"But, clearly adjustments were made by the USPS considering Vogue's circulation, which includes over one million subscribers",style & beauty,news,0.8533165354893254,3 - Topic calculated with low confidence score and no subject area available
8875,Canadian With Spellbinding Christmas Lights Is Killed While Fixing Them,Community is devastated after businessman Doug Musson dies after falling from a ladder.,world news,news,0.5620036522625725,
161791,Funny Sticker: Car Owner Writes 'Position Open' Above Stick Figure Of Spouse,"Well, that's one way to make your relationship status known. Keep in touch! Check out HuffPost Divorce on Facebook and Twitter",divorce,news,0.6696416338038681,3 - Topic calculated with low confidence score and no subject area available
199625,Chloë Moretz's Style Evolution (PHOTOS),"Check out more of Moretz’s style as she turns 15 this Friday, and see which designer gifted the star a classic luxury bag",style & beauty,news,0.5249541855322419,
115629,Rabid Opposition to Ebola: Epidemiology Meets Hyperbole,"There is certainly no basis for either fear of, or opposition to, the on-going treatment of an infected American doctor in Atlanta. We may instead all be thankful that in return for the courageous service he was providing in Liberia, Dr. Brantly is now receiving an American standard of medical care himself.",healthy living,news,0.7246531467994,3 - Topic calculated with low confidence score and no subject area available
179250,Disneyland Travel: Did You Know These Attractions Were Inspired By Movies?,It's no secret which movies served as inspiration for Disneyland rides like Dumbo the Flying Elephant or Snow White's Scary,travel,news,0.4697543185353771,2 - Topic unable to be determined – subject area used instead
88159,The Power (and Science) of Cuddling,Did you know you have a secret weapon? You carry it with you every day. You were born with it. Sometimes it turns red and sometimes you have to get it checked. It's also your largest organ. It's your skin!,women,news,0.6526080549321648,
97841,"Maxine Linehan Challenges Bono, Beach Boys, and Pride of Ireland in Interpretation of 'Beautiful Songs'","Linehan lets loose in ""Beautiful Songs,"" showcasing her identity as a confident and powerful singer. These are not songs Linehan is singing in homage; they are songs she's hand selected to reinterpret through her personal, unique editorial lens.",entertainment,news,0.2287920542513189,
103771,White House Does Not Dismiss Idea Of Castro Visit,,politics,news,0.5563027484901623,2 - Topic unable to be determined – subject area used instead
166147,"Poutine: Bringing Fries, Gravy And Cheese Curds Together","However we like our poutine, we agree on three things: fries, cheese and gravy.",food & drink,news,0.15810420810468773,3 - Topic calculated with low confidence score and no subject area available
99924,Live the Story You Want to Read (And Why You Need a Life Plan),"Perhaps you won't even write much down. That's OK. But I guarantee that you'll be full of thought throughout your day. In fact, the harder these questions are to think about, the more likely it is that you need this in your life.",impact,news,0.8191564727306551,2 - Topic unable to be determined – subject area used instead
84027,Mullah Omar's Family Doesn't Back New Taliban Leader,Former leader Omar's death was announced last week.,the worldpost,news,0.6241521968349948,2 - Topic unable to be determined – subject area used instead
22398,Most Americans Think Washington Is Less Civil Under Trump,Can't argue with that poll finding.,politics,news,0.7817142339571009,3 - Topic calculated with low confidence score and no subject area available
94139,How An Underwear Brand Is Trying To Change The Conversation About Periods,,women,news,0.03557891390785528,1 - Topic determined by algorithm
183404,Couples Who Elope Enjoy The Party Later - Field Notes - NYTimes.com,(I assumed the long-awaited promotion had come through.) “You did what?” (I had heard the word “eloped” somewhere in there,weddings,news,0.9478003437179316,1 - Topic determined by algorithm
85469,Lena Dunham: 'Even The Most Confident Woman' Doesn't Need To Stand Next To Supermodels,Telling it like it is! Lena Dunham recently took the stage alongside such stunners as supermodels Gigi Hadid and Lily Aldridge,entertainment,news,0.6463222256576534,3 - Topic calculated with low confidence score and no subject area available
25891,The Painful Truth About The Pressures Of Academic Life,"Weike Wang's funny, dark novel ""Chemistry"" explores the unraveling of a desperate grad student.",arts & culture,news,0.14690073104893153,
79070,"Baltimore Officer Warned Freddie Gray Needed Medical Help, Newspaper Reports",Sept 26 (Reuters) - A Baltimore police officer charged with manslaughter over the death of black man Freddie Gray told another,politics,news,0.15103541143045285,2 - Topic unable to be determined – subject area used instead
156156,Nablus: City of Martyrs or City of Terrorists,"Like any Palestinian city, the skyline of Nablus is dotted with black water towers. Palestinian buildings can be identified",travel,news,0.2625453101398129,1 - Topic determined by algorithm
83123,John Kasich Has No Idea Where He Stands On Campaign Finance Reform,"""I don't know what I believe the answer is, but I will tell you if I win I will think the system works pretty well.""",politics,news,0.4861141159213166,2 - Topic unable to be determined – subject area used instead
37410,Read Live Updates From The Confirmation Hearings Of Several Trump Cabinet Picks,"Up today: Mike Pompeo, Ben Carson and James Mattis.",politics,news,0.5442219125018557,
106309,This Bird Is Winning The Selfie Game,,green,news,0.2807741402441759,2 - Topic unable to be determined – subject area used instead
372,Ariana Grande Gives Fans Singing 'One Last Time' The Surprise Of Their Lives,OMG!,entertainment,news,0.4138487744312578,
114057,Freyda Miller: Words and Deeds,"Her process in putting this book together as a singular object in itself -- pulling together a multifaceted story out of disparate elements -- manifests the same aesthetic impulse to combine and reconfigure materials into a larger, complex but cohesive, holistic vision.",arts,news,0.2539217459506775,1 - Topic determined by algorithm
57703,Obama Embraces Hiroshima Survivor Who Pushed To Add U.S. Victims' Names To Memorial,"""We remember all the innocents killed in the arc of that terrible war.""",politics,news,0.6869256631357274,1 - Topic determined by algorithm
40520,"GOP Obamacare Strategy Could Unravel Markets Quickly, Report Warns","Sooner or later, millions will lose health insurance.",politics,news,0.2842509044160625,1 - Topic determined by algorithm
4779,Jared Kushner Mercilessly Mocked Over Reported Security Clearance Downgrade,"""Now, by law, Jared has to stick two fingers in his ears and hum during family dinners.""",politics,news,0.0035473714052991494,3 - Topic calculated with low confidence score and no subject area available
53426,"People On Twitter Had A Field Day Slamming Taylor Swift, Siding With Calvin Harris",Everyone attended the #TaylorSwiftIsOverParty  🎉,entertainment,news,0.5825228657334358,1 - Topic determined by algorithm
42151,Bollywood Star Mallika Sherawat Punched And Tear Gassed By Masked Attackers In Paris,The assault occurred a few miles from where Kim Kardashian was robbed six weeks ago.,entertainment,news,0.9693186553812008,1 - Topic determined by algorithm
32942,Kennedy Library Picks Obama For 'Profiles In Courage' Award,"""He represented all Americans with decency, integrity, and an unshakeable commitment to the greater good.”",politics,news,0.1529878672101067,3 - Topic calculated with low confidence score and no subject area available
62861,U.S. Capitol Shooter Once Declared Himself 'A Prophet Of God',Larry Dawson was arrested last year for shouting in the House of Representatives.,politics,news,0.5262988390798173,
105035,WATCH: James Franco And Seth Rogen Make Korean BBQ Lasagna,Yup.,taste,news,0.14154437581728785,3 - Topic calculated with low confidence score and no subject area available
116215,How to Stay Mindful in the Midst of Hatred in the Middle East and the World,,healthy living,news,0.09961229064118482,
26333,How 450-Million-Year-Old Bacteria Evolved Into A Dangerous Superbug,Infection with Enterococcus bacteria is one of the top causes of hospital-acquired infections.,healthy living,news,0.30394576736352485,3 - Topic calculated with low confidence score and no subject area available
67020,There Was An Epic Walk-Off At The 'Zoolander 2' Premiere,Of course there was.,style,news,0.7226684348251529,3 - Topic calculated with low confidence score and no subject area available
117798,Atlanta Mayor Kasim Reed Urges Fellow Dems To Reach Out To Minorities,,politics,news,0.7517819807049392,
17546,Twitter Burns Joe Walsh For Claiming Charlie Hebdo Never Attacks Muslims,"""You know you can Google this s**t, right?"" one person asked.",religion,news,0.03842770716920119,1 - Topic determined by algorithm
23456,"This Pizza Bath Bomb Even Smells Like Pizza. Yes, Really.",It's cheesy in the best way possible.,style,news,0.23404063963281566,3 - Topic calculated with low confidence score and no subject area available
108319,Sting's the Last Ship: The Prodigal Son Returns,"At its core, The Last Ship poses a religious quest for redemption: Father Jim (Fred Applegate) hears Gideon's confession of sins of the flesh, drink, and foul talk. But hey, this father has a few foibles of his own.",entertainment,news,0.08802264419093153,3 - Topic calculated with low confidence score and no subject area available
199081,Know Your Presidential Foods (QUIZ),"At Kitchen Daily we're making a food holiday out of Presidents' Day! Formally observed as Washington's Birthday, it's no",food & drink,news,0.29807597832880584,1 - Topic determined by algorithm
182093,Nicole Richie For Macy's Lookbook Released (PHOTOS),"The best way to describe the line is that it's very Nicole Richie -- bohemian chiffon layers, a touch of luxe leather and",style & beauty,news,0.7209417498710275,1 - Topic determined by algorithm
36943,Trump's Education Nominee Refuses To Say Guns Don't Belong In Schools,Betsy DeVos said some schools might need them to fend off grizzly bears.,politics,news,0.1984881693547359,1 - Topic determined by algorithm
10075,Activist Apparently Behind Failed Washington Post Sting Receives 'Hero' Award,"Project Veritas' president accepted the award from Ginni Thomas, who is married to Clarence Thomas.",media,news,0.6111040688283913,3 - Topic calculated with low confidence score and no subject area available
48994,Donald Trump's Latest Hire Shows He's No Different Than His Old Republican Foes,The head of Citizens United joins Trump's campaign from a pro-Trump super PAC.,politics,news,0.6214217963124841,
189438,Top 10 Must-Sees In Myanmar (PHOTOS),Don't be surprised if monks and nuns share the same status as rock-stars and celebrities -- it is truly unlike any place you know!,travel,news,0.9008605770191564,1 - Topic determined by algorithm
38047,Immigrant Rights Groups Gear Up For Fight Of Their Lives With Nationwide Protest Plan,They'll rally in more than 40 cities against Donald Trump.,politics,news,0.7540379374453365,2 - Topic unable to be determined – subject area used instead
174699,4 Truths About Working And Stay-At-Home Moms,"No matter how you feel on the age-old debate between stay-at-home and working moms, someone always seems to leave with hurt",parenting,news,0.6801560784963525,
110851,Why Wildlife Trafficking Is a Human Problem of Global Concern,"The soaring demand for products derived from wildlife has pushed several iconic species --including elephants, rhinos, and tigers, as well as many lesser known species -- toward the precipice of extinction. This is a global crisis for both wildlife and people, particularly local communities.",green,news,0.8435926190663787,3 - Topic calculated with low confidence score and no subject area available
43938,The Most Haunted Town in America,,travel,news,0.2822938478520273,3 - Topic calculated with low confidence score and no subject area available
189515,How To Clean Earbuds And Headphones,"Whether they're for working out or blocking out office noise, earbuds and headphones help us get through the day with a little",home & living,news,0.39129407215532375,2 - Topic unable to be determined – subject area used instead
30206,ProPublica Expertly Claps Back At Sean Spicer For Calling It A 'Left-Wing Blog',"""Since we’re actually in the biz of facts, we figured we’d respond w/ a few.""",politics,news,0.7611270696636758,1 - Topic determined by algorithm
71923,Christina Milian Reveals An Ex-Boyfriend Held Her At Gunpoint,"""Staring down the barrel of a gun is the scariest thing you could ever experience.""",entertainment,news,0.9366761812914322,1 - Topic determined by algorithm
125290,There Goes the Hair,"But how could I have known that in fact my head is well-shaped, not too big, not too small, no distracting lumps or bumps, scars or curious protuberances. How could I have known how delightful the buzz was to touch?",wellness,news,0.15598513229349098,3 - Topic calculated with low confidence score and no subject area available
86953,Author Robert E. Blackmon Pens Best-Selling Wedding Guide for Men,"In this current bride-centric wedding culture, the needs of men of all orientations are often lost in the shuffle. The current resources don't really address the needs of men when it comes to what to wear, how to plan and what to expect when planning such an important event.",queer voices,news,0.9418098037272182,
89468,The Under-appreciated Benefits of Creative Consistency,"Consistency doesn't count for everything, but it sure counts for a whole lot. With the many land mines out there, ready to derail even the most talented of people, ""showing up"" regularly offers undeniable benefits.",business,news,0.4575357611576501,3 - Topic calculated with low confidence score and no subject area available
79665,Amy Poehler Rocks Cutouts And Ombré Hair At The Emmys,"Yes, yes and more yes.",style,news,0.3339899541760569,1 - Topic determined by algorithm
103402,7 Questions About the Recent Oil Price Slump,"Oil prices have plunged recently, affecting everyone: producers, exporters, governments, and consumers.  Overall, we see this as a shot in the arm for the global economy. There is, however, much more to this complex and evolving story.",business,news,0.9235400755078657,2 - Topic unable to be determined – subject area used instead
120421,EPA Carbon Standards and Iowa: Breezing Past Proposed Goals,"The proposal offers an opportunity for Iowa to continue to grow its booming wind sector and implement solar and energy efficiency to a greater extent, creating a more affordable, more independent, and cleaner electric system. In fact, Iowa is already on a path to meet the emissions reduction target set by EPA.",green,news,0.9325662151816404,2 - Topic unable to be determined – subject area used instead
134087,Adorable Pug Shows Us How Exhausting Weddings Can Be,"Sure, weddings are fun -- but they can also be exhausting affairs with all the mingling, dancing and drinking. By time it's",weddings,news,0.8024514525992184,2 - Topic unable to be determined – subject area used instead
192605,Bootcamp Fitness: Jari Love's Revved To The Max,"Welcome to 'You Tried It,' a series of video posts from top trainers, who will share clips from their popular workout DVDs",wellness,news,0.2894570520952437,2 - Topic unable to be determined – subject area used instead
21057,The Hard-Right Sticks With Trump No Matter What,"He’s obnoxious, even to them. His administration is a mess. But they ignore all that to get what they want.",politics,news,0.7634148737855655,
103967,This One Thing Will Create More Abundance in Your Life Immediately,,healthy living,news,0.34958797149850074,2 - Topic unable to be determined – subject area used instead
6514,Van Jones Tears Apart Trump's Speech: 'Sweet-Tasting Candy With Poison In It',The CNN commentator calls out the president's rhetoric.,media,news,0.8965440978579291,
60438,Mom Has Perfect Reminder For Fellow Mamas As Warm Weather Approaches,"""You deserve to bask in the warmth of the sun as much as anyone else.""",parents,news,0.29300748962984513,2 - Topic unable to be determined – subject area used instead
16921,'The Late Show' Confirms There's An Anti-Trump Protest For Everyone,And more on the way!,comedy,news,0.8797993278669817,
160018,Financial Literacy Month: Don't Forget Your Kids,"We have a very low success rate of saving in the United States, and we are passing this legacy of spending on to our kids. We need to see that our children are taught these skills so that they can grow up to be financially literate, and we need to start young.",parenting,news,0.26747052392821397,2 - Topic unable to be determined – subject area used instead
51864,Shannen Doherty Reveals That Her Cancer Has Spread,"“The unknown is always the scariest part.""",entertainment,news,0.7805695981469057,3 - Topic calculated with low confidence score and no subject area available
1715,Turning Point USA Keeps Accidentally Hiring Racists,"“I love making racist jokes,” tweeted the woman who replaced the person who wrote, “I HATE BLACK PEOPLE.”",politics,news,0.12611304677988422,
141445,"Crazy Buffalo Sauce Recipes, Hold The Wings",No wings allowed.,food & drink,news,0.03858819856738949,2 - Topic unable to be determined – subject area used instead
170674,Survival Secrets of a Daddy Daycarer,"""Trust me, it's hard. After a week, you'll be letting the dog lick your baby's face clean just so you don't have to get a cloth."" I'm about to become a Dad, and this is the sort of advice I've been getting from my male friends.",parenting,news,0.7423485454882432,3 - Topic calculated with low confidence score and no subject area available
85130,"'The Bachelorette' Season 11, Episode 11: The Men Tell All, Kaitlyn Bristowe Schools Them All","Plus, everyone got a little lesson in what online harassment looks like.",entertainment,news,0.4625204492607247,
145918,Find Your Personal Luxury,"True luxury is about authenticity, and you cannot create authenticity simply by buying more.  Nor can you create it by buying the most expensive items or by trying to keep up with the latest and greatest that someone else told you was a ""must have"" for the season.",wellness,news,0.3241007982612064,
148566,"Messy Work Spaces Spur Creativity, While Tidy Environments Linked With Healthy Choices","Researchers found that 82 percent of people in the orderly room made a charitable donation, versus 47 percent of people in",wellness,news,0.4539228271849826,2 - Topic unable to be determined – subject area used instead
193446,Twilight of the Seniors: Terms of Embezzlement,"This last weekend was the premiere of the documentary film Last Will and Embezzlement, a chilling account of how the senior population in this country is being vampirized.",money,news,0.6143674321477522,3 - Topic calculated with low confidence score and no subject area available
160415,The Smartphone Physical: Checkup of the Future?,Imagine a comprehensive checkup using only smartphone-based devices. The data is immediately readable and fully uploadable to an electronic health record. The patient understands -- and even participates -- in the interaction far beyond faking a cough and gulping a deep breath. For real?,tech,news,0.4613460792179752,2 - Topic unable to be determined – subject area used instead
18867,ESPN's Auction Puts The Racial Dynamics Of Fantasy Sports On Full Display,"ESPN is under fire for airing a fantasy football ""auction"" that evokes images of slavery. But it also reveals an uncomfortable truth.",politics,news,0.28447863775478105,2 - Topic unable to be determined – subject area used instead
107592,The Missing Link: Moving Beyond First-Level Solutions to Women's Leadership,,business,news,0.4893284458167462,
2763,Black Parkland Students Want Peers To 'Share The Mic',"“It hurts, because they went all the way to Chicago to hear these voices when we’re right here,"" one student said.",black voices,news,0.9107276821473184,2 - Topic unable to be determined – subject area used instead
86569,"Lil Wayne Drops New Album, 'FWA,' On Tidal",,entertainment,news,0.8174051937354463,2 - Topic unable to be determined – subject area used instead
49068,"Ryan Reynolds Is A Hugger, Especially When It Comes To Trees","The ""Deadpool"" actor may kill the Twitter game, but the digital world is the least of his worries.",entertainment,news,0.9469670685736584,2 - Topic unable to be determined – subject area used instead
132413,What Does the Fox Say About Parenting Tweens and Teens?,"Foxes and other wild animals have been raising teens for eons. Their dependents learn to fly in the dark, adapt to shifting environments and feed themselves. If they can teach their teens/tweens to survive on this planet, you can too.",parenting,news,0.3605798846289096,
138639,The Only 5 Steps You Need To Get Ready For A Friday Night Out,"Step 4: Lip Color Step 3: Blush Step 5: Bouncy Curls But trust us, you can look Friday night-ready in a few minutes just",style & beauty,news,0.3069578159809964,1 - Topic determined by algorithm
2850,Malaysia Outlaws So-Called 'Fake News' With Jail Of Up To Six Years,Critics say the move is aimed at curbing dissent and free speech.,world news,news,0.7581706156599505,1 - Topic determined by algorithm
33276,Meet The Openly Gay Football Player Changing The Game At Powerhouse Colleges,My-King Johnson has been out since he was 12.,queer voices,news,0.4814376910272673,2 - Topic unable to be determined – subject area used instead
8872,Animal Missing After Fire Breaks Out At London’s World-Famous Zoo,More than 70 firefighters took around three hours to bring the blaze under control.,world news,news,0.3054262322613601,2 - Topic unable to be determined – subject area used instead
46300,"HUFFPOST HILL - Trump Takes Bold Anti-Veteran, Pro-Butt Stands",Like what you read below? Sign up for HUFFPOST HILL and get a cheeky dose of political news every evening!     Donald Trump,politics,news,0.03950112386089888,1 - Topic determined by algorithm
183626,Does Hair Stop Growing After A Certain Age Or Length? We've Got The Answer,"What about as we get older, does growth slow down? ""As we live and breathe we are growing hair, but older age can bring with",style & beauty,news,0.2945917369777742,1 - Topic determined by algorithm
179177,"Ciudad Valdeluz, Abandoned Town In Spain, Sits Nearly Empty (PHOTOS)","Much like the abandoned Ciudad Real International airport, Ciudad Valdeluz also sits nearly abandoned in central Spain. Valdeluz",travel,news,0.5161484843616393,2 - Topic unable to be determined – subject area used instead
148822,Use the Good Stuff,"I told her that when my husband left, he didn't ask for anything.  Not a single photograph.  Not any artwork the kids had made.  He wanted nothing, not a single remnant nor reminder of our 15 years together.",divorce,news,0.4071638673497875,3 - Topic calculated with low confidence score and no subject area available
78318,35 Inappropriate Halloween Costumes For Kids,Halloween is a time when kids and adults can be something they're not. But some costumes are simply tasteless -- especially,weird news,news,0.4738889202342946,1 - Topic determined by algorithm
68315,CDC Issues Guidance On How To Care For Babies With Zika Virus,"While Zika virus isn't spreading in the U.S., experts say it's only a matter of time.",healthy living,news,0.8498399701440458,2 - Topic unable to be determined – subject area used instead
90208,The TPP Is a Test of Democracy,"The press to fast-track TPP is a sellout of democracy, but it is also a symptom of a deeper collapse of faith in American self-government.  Increasingly, people who want to get something done find ways around democratic lawmaking: private investment, nonprofit social mobilization, executive actions, lawsuits in the courts, anything but going to Congress.",politics,news,0.5548472012755471,1 - Topic determined by algorithm
110092,What We Miss When We Photoshop School Pictures,"Personally, I've always thought the whole point of school pictures is to provide an authentic representation of childhood -- to record every shift of the dental landscape, document every boo-boo, remind us of an unrequited love affair with bangs.",parents,news,0.8426027256784369,1 - Topic determined by algorithm
191421,The Mother's Day Love Flash Mob,"We can do no big things, just little things with great love. Each of our offerings will be little but together, they will become great.",parenting,news,0.8174838183881279,2 - Topic unable to be determined – subject area used instead
169260,Clean A Coffee Grinder With Cheerios To Get Rid Of Odors,"After you snack on a few, of course.",home & living,news,0.9060234525608432,1 - Topic determined by algorithm
45606,Gunman Kills At Least 14 At Shiite Shrine In Kabul,Dozens were also wounded in the attack.,the worldpost,news,0.33206260348179506,1 - Topic determined by algorithm
181987,"Walnuts Could Improve Sperm Quality, And 5 Other Health Benefits Of The Nut","For men looking to start a family, a small new study is shedding light on an all-natural snack that might help their chances",wellness,news,0.6283716760151993,3 - Topic calculated with low confidence score and no subject area available
183903,Yoga's Stress-Busting Effect: It Decreases Inflammation,"University of California, Los Angeles, researchers found that participating in Kirtan Kriya Meditation -- a kind of yoga",wellness,news,0.6888997850453229,
193311,Lessons From the Mat: Meeting the Resistance,"When you can stand, even for a moment, in the truth of who are you, you can begin to respond to the incessant lies that are keep you stuck behind the brick wall of resistance. And then you will begin to break through and find your way to freedom.",wellness,news,0.2555947243454441,3 - Topic calculated with low confidence score and no subject area available
138113,Education Can Be Recreation This Thanksgiving,"Chances are, you're going to have a hard time trying to avoid technology this Thanksgiving... so why not surprise your family by embracing the robotic uprising this year, rather than trying to prevent it?",parenting,news,0.9523326711474892,
20398,GOP Has A Trust Deficit On Health Care,Americans aren't thrilled with Republicans' latest efforts to write health care legislation.,politics,news,0.05276853661369707,3 - Topic calculated with low confidence score and no subject area available
43579,The Health Reason You Might Want To Enjoy Pot And Wine Separately,Using alcohol and marijuana together may put you at risk for alcohol-related problems.,healthy living,news,0.17569880613713396,2 - Topic unable to be determined – subject area used instead
140874,The Real Family Rules,Live your messy life and don't apologize for it. Don't scrub the ink off your toddler's arms before you Instagram it or move the dirty pile of laundry in the background. Because your real life moments are a beautiful mess.,parenting,news,0.910251119206951,3 - Topic calculated with low confidence score and no subject area available
11072,Jimmy Fallon And Jerry Seinfeld Try To Out-Seinfeld One Another,"Two Seinfelds enter, one Seinfeld leaves.",comedy,news,0.8961270176491279,2 - Topic unable to be determined – subject area used instead
196203,"The Dharun Ravi Case: Law Upheld, Justice Denied?","With the jury's guilty verdict in the so-called Rutgers University webcam spying case, Ravi, it appears, has been turned into the proverbial sacrificial lamb for society's collective guilt about its own bias intimidation against homosexuals.",crime,news,0.30699675739029897,2 - Topic unable to be determined – subject area used instead
79259,Which Girl Was Suspended For Wearing Wrong Shade Of Green?,The girl's mother is red-faced over the decision.,weird news,news,0.8941153427252869,
98909,Uma Thurman Speaks Out About Her 'New Look',,entertainment,news,0.8082628719967877,1 - Topic determined by algorithm
46945,Laila Ali Commends Colin Kaepernick: 'He Knows What He's Talking About',The former boxer remembers another black athlete activist who history remembers as a hero: Muhammad Ali.,black voices,news,0.399310262310851,3 - Topic calculated with low confidence score and no subject area available
153621,Shopping With Mom: Still Fun After All These Years (GIFS),"Diamonds aren't a girl's best friend -- her mother is. Who else will love a girl unconditionally, despite her bad perms and",style & beauty,news,0.09167829377834567,2 - Topic unable to be determined – subject area used instead
62669,"Afghans Haunted By U.S. Strikes On MSF Hospital Want The Truth, Not Money And Apologies","Six months after the attack that killed 42 men, women and children, the U.S. military's lack of transparency is still hurting Afghans.",the worldpost,news,0.32332098581997537,1 - Topic determined by algorithm
48512,Stephen Colbert Sings About The Taylor Swift-Tom Hiddleston Breakup,"""Where did Colbiddleswift go wrong?""",entertainment,news,0.9858911447006996,
160021,Don't Put Off Your Bucket List: Why I'm Glad I Didn't Wait to Experience South Africa,"I took the plunge and booked my dream vacation: 11 days in South Africa & Victoria Falls, including a safari. Here are my top six reasons why not to wait to take your dream African vacation.",travel,news,0.9535993310030456,1 - Topic determined by algorithm
70599,James Worthy Got Too Hyped For His Own Good After The Lakers Won,"""GET THAT CELTIC A**.""",sports,news,0.9020925488376841,
10366,Israel And U.S. Hide Names Of Companies Supporting Israeli Settlements,"Israel seeks to suppress the identities of the companies that support the settlements because it is feeling the pinch of the Boycott, Divestment and Sanctions movement.",world news,news,0.4090876733765421,
37126,How to Raise Kids Who Can 'Love and Be Loved',Why modeling adult affection matters.,parents,news,0.901293100082776,3 - Topic calculated with low confidence score and no subject area available
173285,Recipe Of The Day: Pomegranate Salad,"With barley, apples and thyme.",food & drink,news,0.6199958227782827,1 - Topic determined by algorithm
196798,A Tray of Green Cupcakes,"Accents are funny things, instantly accepted or rejected by their very sound.  In New York I was the only kid at school with an Irish brogue.",style & beauty,news,0.11797164896594516,3 - Topic calculated with low confidence score and no subject area available
181680,"Homes For Sale By Price: What $100,000 Gets You In Cities Across America (PHOTOS)","A few weeks ago while looking for homes for sale by price, we challenged ourselves with a meager $150,000 budget. This week",home & living,news,0.20312762439936086,
99414,Under Noelia's Spell: The Global Superstar Sets Her Sights on the World of Dance,"Although Noelia has sold over 5 million albums worldwide, has massed quite a collection of gold and platinum albums and was named ""International Star of the Year"" in Italy, in the U.S. she remains relatively unknown.",queer voices,news,0.11486863243218147,
74517,Peyton Manning Benched After Breaking NFL Passing Yards Record,Manning wound up producing one of the worst performances of his career.,sports,news,0.606678303740938,2 - Topic unable to be determined – subject area used instead
74135,Starbucks Embarks On National Diversity Initiative In Ferguson,The program will also partner with a nonprofit and offer customer service training.,politics,news,0.6996143987149622,3 - Topic calculated with low confidence score and no subject area available
133246,The Weird and Wonderful World of Animal Shows,Photographer Amy Lombard grew up in a house filled with pets and has always loved animals. After finishing a series on IKEA,culture & arts,news,0.1151378387396278,
83132,Peaceful Protest Held In Ferguson After Two Nights Of Tension,The crowd of around 100 demonstrators was mostly calm and peaceful.,black voices,news,0.3251663435277048,2 - Topic unable to be determined – subject area used instead
31636,360-Degree Photographs Invite You Inside America's Most Majestic Libraries,No library card necessary.,arts & culture,news,0.9833003197626492,
37936,Chuck Schumer: Roe v. Wade Important In Whether Democrats Will Block Trump’s SCOTUS Nominees,"The top Senate Democrat said they won’t have a litmus test on the issue of abortion, but it will be a central concern.",politics,news,0.2625723005815558,
116951,"Who Said It? Blink-182, Sum 41, or Malcolm X?","It's time for America's favorite Internet game, Who Said It? Who said it -- Blink-182, Sum 41, or Malcolm X?",comedy,news,0.2696834440402752,3 - Topic calculated with low confidence score and no subject area available
171871,Charles Dickens' London Home Reopens After Refurbishment,“It is very exciting to see the museum restored to the way it was when Dickens lived there...He lived and breathed the place,travel,news,0.9801320065196126,2 - Topic unable to be determined – subject area used instead
48935,"In Myanmar, Nature Can Help Communities Face Climate Challenges","Building resilience to increasing extremes and many more unavoidable effects of warming is imperative. It is especially important in developing countries like Myanmar, where millions of subsistence farmers with limited access to services and poor infrastructure are disproportionately vulnerable.",green,news,0.23126310770566005,3 - Topic calculated with low confidence score and no subject area available
72471,Trump's Incendiary Comments Throw GOP Into A Tailspin,"One by one, Republican officials across the country lashed out at Trump's plan.",politics,news,0.04480785801335874,
