Entity Type,Title,Description,Topic,Subject Area,Score
,AH Logistics - Toets Processupport codebeheer,"Short introduction: This test tests the readily available knowledge needed to execute tasks within the process Processupport well.

Pre-requisite knowledge: Basic knowledge of Employee 2.

Language: Dutch 

Procedures to enroll: if you want to start the test at this moment, click the button """"go to content"""". When you want to take this test later, then click the button """"add to learning plan"""".
",logistics,,0.9925525
,Blok 7 AKWM - Commercieel Gastheerschap,"Commercieel Gastheerschap is een verkoop- en klantgerichtheidstraining die aansluit op de formule en de kernwaarden van Gall & Gall. De klant wordt als uitgangspunt genomen en uw retailgevoel wordt verder versterkt.
In deze training krijgt u erkende en nieuwe commerciële inzichten en werkwijzen aangereikt die u vervolgens kunt meegeven aan uw medewerkers in de winkel. De cursus levert meetbaar rendement op, bijvoorbeeld meer aankopen per klant of een algehele omzetverbetering.

Inhoud van de training:
- Retailkwadrant - de 4 dimensies van retail
- Bedieningsportfolio
- Inzicht in eigen resultaten
- Klantgesprek
- Inzicht in klantgedrag
- Verkoopwens van klanten

Tbv de ontwikkeling van verkoopvaardigheden en vergroten klantgerichtheid afgestemd op de kernwaarden van de formule van Gall & Gall.

Bij deze training hoort een voorbereidingsopdracht.","Business, Finance, and Accountancy",,0.274382
,Training for Growth,"""Sales/Specialist Summit Workshop"" Creating training plans that meet adult learner needs & identifying and practice effective presentation skills.",presentation,,0.78172773
,Harassment Awareness and Prevention for Freetown Associates,"Promote a safe, harassment free environment for your distribution center workplace!

This item is to track the Associates in Freetown that do not have access to the ELM Learning system, and attended a classroom version presented by the HRM's in Freetown.

Language:  English

Supplier:  Internal

Location:  Freetown and various locations

Participants:   10 - 30

Need help? Click here.

Keywords:  Harassment Prevention, Anti Harassment",harassment,,0.9989139
,Social hygiëne,"
Voldoe aan de wettelijke eis, leer over de veiligheid rondom alcohol en het verantwoord verkoop hiervan.
De cursus Sociale Hygiëne is een zelfstudiecursus met een examen. De overheid heeft bepaald dat ondernemers en andere leidinggevenden van slijterijen en horecabedrijven waar alcoholhoudende dranken verkocht worden, moeten voldoen aan de eis Sociale Hygiëne. Deze personen dienen op de Drank & Horecavergunning vermeld te staan. Tijdens de openingsuren van een slijterij of horecabedrijf moet altijd minstens één persoon aanwezig zijn die in het bezit is van de SHV-verklaring Sociale Hygiëne. In de slijterijen met ruime openingstijden moeten dus meerdere personen deze verklaring hebben. Ook de ondernemer zelf moet aan deze eis voldoen.

Inhoud van deze training: Gastvrijheid in de horeca, Sociale vaardigheden, Veiligheid in uw slijterij of horecabedrijf, Alcohol-, gok- en drugsverslaving en Inrichtingseisen en voorzieningen.Taal: Nederlands

Hulp nodig? Klik hier.",,Gall Aankomend Verkoper,Score < threshold
,Workshops,"Het doel van de workshops is om u als winkelmanager in korte tijd kennis te laten opdoen over specifieke onderwerpen, zoals de Gall & Gall formule, het wijnassortiment, sollicitatietechnieken, het beoordelen van medewerkers, etc. Kennis over deze onderwerpen kan u goed van pas komen bij het uitoefenen van uw functie en bij alles wat er in en rond de winkel speelt. 

De inhoud van de training is afhankelijk van het onderwerp van de workshop.

Elke winkelmanager is verplicht om aan minimaal 2 (maximaal 4) workshops deel te nemen.",Information Technology,,0.9903942
,Slijtersvakdiploma,"Gall & Gall vindt productkennis zeer belangrijk. Het opdoen van kennis op het gebied van diverse dranken staat daarom hoog in het vaandel. Het goed kunnen adviseren van klanten is een essentieel, maar ook een leuk onderdeel van het slijtersvak. Het slijtersvakdiploma is een goede opleiding op het gebied van wijn, bier, gedistilleerd en sociale hygïëne. Na het doen van deze uitgebreide cursus en het behalen van het diploma, bent u als winkelmanager of eerste verkoper in staat om uw klanten optimaal van dienst te zijn.

Inhoud van de training:
- Het diploma Sociale Hygiëne
- Wijnbrevet (het basisdiploma Wijnbrevet)
- Gedistilleerd brevet (het basisdiploma Gedistilleerd brevet)
- Bierbrevet (het basisdiploma Bierbrevet)

U kunt de brevetten los van elkaar behalen en dus in uw eigen tempo studeren. Het Wijnbreven en het Gedistilleerdbrevet geven u het recht om u in te schrijven voor de gespecialiseerde Vinologen- en Liquoristenopleiding.",Information Technology,,0.3729806
,E-learning productknowledge 'What customers ask about bake-off bread'.,"Short introduction: In this e-learning you learn about bake-off bread we sell at Albert Heijn on the bakkery department, so you are able to answer frequently asked questions and advise your customers.

Pre-requisite knowledge: none

Language: Dutch 

Duration: 10 minutes

Costs:  free

Procedure to enroll: To start the e-learning directly, click on “go to content”. To follow this e-learning at a later time, click “add to task list”.

Keywords: Bread, Bakkery, bake-off. bake-off bread, productknowledge bread, Productknowledge bake-off bread, What customers ask about bake-off bread.",,DO NOT USE,Score < threshold
,E-learning Bread: Crunchy for the customer,"Short introduction: In this e-learning you learn about bakkerij processes.

Pre-requisite knowledge: none

Language: Dutch 

Duration: 10 minutes

Costs:  free

Procedure to enroll: To start the e-learning directly, click on “go to content”. To follow this e-learning at a later time, click “add to task list”.

Keywords: Bread, Bakkery, bake-off. bake-off bread, proces bread, Bread: Crunchy for the customer",customer service,DO NOT USE,0.8646251
,Team Conflict: Overcoming Conflict with Communication,"In ""Team Conflict: Overcoming Conflict with Communication,"" you will learn about using communication to resolve conflict in a diverse team. You will also learn strategies for managing conflict and guidelines for effective communication during team conflict.

(2 Hours)

",communications,DO NOT USE,0.8136794
,Verkoopkracht,"De cursus Verkoopkracht is speciaal voor Gall & Gall winkelmedewerkers ontwikkeld. Verkoopkracht is een verkoop- en klantgerichtheidstraining die aansluit op de formule en kernwaarden van Gall & Gall. De training sluit daarnaast aan op de training Commercieel Gastheerschap voor winkelmanagers. De klant wordt als uitgangspunt genomen en het retailgevoel bij winkelmedewerkers wordt verder versterkt. In deze training gaat u veel oefenen met verkoopgesprekken en leert u hoe de omzet kunt vergroten door o.a. meer bijverkoop. De cursus levert meetbaar resultaat op, door bijvoorbeeld een hoger bonbedrag of algehele omzetverhoging.

Inhoud van de training:
- Retailkwadrant - de 4 dimensies van retail
- Bedieningsportfolio
- Inzicht in eigen resultaten
- Klantgesprek
- Inzicht in klantgedrag
- Verkoopwens van klanten

Deze training draagt bij aan de ontwikkeling van verkoopvaardigheden en het vergroten van klantgerichtheid afgestemd op de kernwaarden van de formule van Gall & Gall",Cannot be determined,,Score < threshold
,Helping to Erode Patient Barriers to Insulin Pens,Helping to Erode Patient Barriers to Insulin Pens,,DO NOT USE,Score < threshold
,Personeelsmanagement voor de SM,"Het Management is verantwoordelijk voor het personeelsmanagement in de winkel. Beiden zorgen zij ervoor dat de organisatie van de winkel vorm krijgt vanuit het besturingsmodel. De SM werkt samen met de ASM aan een juiste kwaliteit en kwantiteit van de personele bezetting.

Deze module verduidelijkt de samenhang tussen de verschillende onderdelen van personeelsmanagement in relatie tot de strategie van Albert Heijn om te komen tot een verkoopgerichte organisatie.

Aan de orde komt:

•  elementen van Personeelsmanagement en de rol als manager van de personele organisatie;

•  formatiemanagement  in relatie tot het besturingsmodel;

•  kwantitatieve- en kwalitatieve analyse  van huidig- naar ideaal W-bestand;

• kwantitatief en kwalitatief actieplan opstellen en van daaruit handelen ‘met het doel voor ogen’;

•  begrippen in-, door- en uitstroom en welke onderdelen  ingezet kunnen worden   naar een ideaal W-bestand binnen een gegeven loonmodel;

•  talentontwikkeling.

Benodigde voorkennis: Onderdeel van de voorbereidingsopdracht is het uitvoeren van een opdracht. Houd hier bij het plannen van dit trainingsonderdeel rekening mee.

Taal: Nederlands

Leverancier: Interne trainers

Locatie: Ahold locatie

Kosten: € xxx,-- per persoon. Deze kosten worden doorbelast op het kostenplaatsnummer van je afdeling.

                               

Min-max groepsomvang: 6 deelnemers - 10 deelnemers

Aanmeldingsprocedure: Als er cursusdata beschikbaar zijn kun je je registreren voor een van deze data. Als er geen data beschikbaar zijn, klik je op “Rooster aanvragen” en klik onderaan op de knop “Aanvraag”. Je komt dan op de request list. De training wordt georganiseerd zodra het minimum aantal deelnemers bereikt is. Je ontvangt dan een bericht.

Trefwoorden: Cafetaria",management,DO NOT USE,0.97440946
,AH Logistics - Toets Movements,"Short introduction: This test tests the readily available knowledge needed to execute tasks within the process Movements well.

Pre-requisite knowledge: Basic knowledge of Employee 2.

Language: Dutch

Procedures to enroll: If you want to start the test at this moment, click the button """"go to content"""". When you want to take this test later, then click the button """"add to learning plan"""".
",logistics,DO NOT USE,0.9907363
,Fuel Station Associate Training Course 2013,The purpose of this course is to provide you with the knowledge you need to be successful while working in the Fuel Station.,"Art, Design & Media",,0.80049413
,Annual Reporting Instructions,"To provide participants with:
an understanding of the annual reporting process, timeline and contents of Ahold annual report in line with SEC requirements 
an overview of the roles and responsibilities in the annual reporting process
Content: 

This training focus on:

Annual reporting process 
Planning for annual reporting 
SEC reporting requirements 
Report writing skills
",,DO NOT USE,Score < threshold
,Organizational Skills: Time Management,"""Organizational Skills: Time Management"" will help you develop the skills needed to manage your time effectively and help employees improve their performance. You will be provided with opportunities to develop your time management skills, coach employees with time management problems, and develop a time management plan.

(2 Hours)

",time management,DO NOT USE,0.6468726
,Using Motivational Interviewing to Guide Conversation,,recruiting,DO NOT USE,0.99564976
,RETIRED Code of Ethics Policy Disclosure Course 2013,"This course will include a review of the Ahold USA Ethics & Disclosure Policy, the Electronic Communications Policy, and a Summary of Disclosures and Conflict of Interest Rules. You will be asked to acknowledge that you have read and understand all of the aforementioned documents. At the end, you will be asked to complete the Conflict of Interest Questionnaire 2013.",ethics,,0.9938139
,Toets Financiën voor (assistent) supermarktmanager,Toets Financiën behorend bij opleiding ASM,,DO NOT USE,Score < threshold
,AH Logistics - Magazijnmedewerker 2,"Basicknowledge of the function Employee 2. The employee knows what tasks he must perform within which processes and what the main rules and agreements are.

Language: Dutch

Procedure to enroll:
This course is part of a recurring course, therefore you cannot register separately for this course. You will be registered automatically for this course.
",logistics,DO NOT USE,0.98955745
,Buying Generic Pharmaceuticals,"Ahold Pharmacy has recently launched a high priority project aimed at improving the way we buy generic pharmaceuticals. The initiative will offer significant benefits to our pharmacy operations. As a result, changes will be taking place within the next",project management,,0.6556081
,E-learning work safely in the store,"""Short introduction: In this e-learning you learn everything you need to know about safely working in the store.

You will learn more about:
- the key procedures, guidelines and agreements regarding the opening and closing of the store;
- unsafe situations and guidelines on how to act in such situations;
- the role of the company emergency (BHV) staff;
- healthy working especially on healthy lift;
- harassment by customers and staff.

Pre-requisite knowledge: none

Language: Dutch

Costs: € 0,00 

Procedures to enroll: If you want to start the e-learning at this moment, click the button """"go to content"""". When you want to follow this e-learning later, then click the button """"add to learning plan"""".""
",workplace safety,,0.80481493
,Self-Development: Increasing Your Assertiveness,"In Self-Development: Increasing Your Assertiveness, participants learn how to identify the sources of their self-esteem and then use techniques, such as good verbal communication skills, to enhance their self-esteem. Participants also learn how to manage conflict and their emotional responses to various situations in order to become more assertive.

(2 Hours)

",soft skills,DO NOT USE,0.9932092
,Thema process within Albert Heijn,"Short introduction: This modules ia about Theme process within Albert Heijn? This module contains information about this process. The Theme controller will tell you about the theory associated with the process, the Theme process and the role of controller within the process. 

After this module you have:
- a basic understanding of the Theme process
- insight in the role of the marketing controller in this process

Pre-requisite knowledge: How we do Finance, How we do Business control

Method: e-learning/powerpoint with face-to-face meeting

Language: English

Duration: 60 minutes

Costs: € 0,00 per person. 

Procedure to enroll: To start the e-learning directly, click on “go to content”. To follow this e-learning at a later time, click “add to task list”. Plan a meeting with the internal trainer ( = Theme Controller) incl. location.
",manufacturing,,0.68840057
,E-learning DELI,"Tento e-learning je součástí projektu DELI, který je strategickou prioritou naší společnosti, a je zaměřený především na znalost sortimentu a zákaznický přístup. Jeho cílem je ale také osvěžit uživatelovi základní znalosti procedur. Tím, by se z uživatele měl stát profesionál v oboru DELI, který nejen, že zná výborně technické náležitosti svojí profese, ale je rovněž schopen zákazníkovi poradit, podpořit jej v nákupu a přimět jej tak k častějšímu nákupu v prodejnách Albert. Toto vše je poté ověřeno závěrečným testem.



Délka kurz/časová náročnost: max 30 minut

Jazyk: Česky

 

Klíčová slova:

deli, lahůdky, pultový prodej, sortiment",Cannot be determined,,Score < threshold
,Respect in the Workplace,"This course teaches employees how to maintain a healthy and subsequently productive work environment by identifying respectful and disrespectful behavior, and by making respectful choices. Interactive scenarios teach employees to prevent and report bullying and other persistent intimidating, offensive, or inappropriate behavior that may be detrimental to efficiency and effectiveness in the workplace. Additionally, the course teaches that harassing, offensive behavior may be found to be a breach, not only of anti-discrimination or anti-harassment law, but also of other civil torts laws, and that the organization could be implicated in litigation. Learners will develop a clear understanding of what is and what is not respectful behavior in the workplace.
",Safety and Security,,0.28190377
,Personal Leadership,xxx,leadership,,0.9962453
,Control and formation Workshop,"This workshop is part of a series knowledge workshops for Region managers, Operational managers and HR Business partners of Albert Heijn store organization.

In this workshop the following topics will be covered:
- governance model of Albert Heijn stores
- (theory) of the formation and management tools (eg PZ Monitor)
- reading and analyzing a formation plan
- recognizing deviations of the desired situation and know what steps to improve are possible

Required knowledge: workshop Finding the products you want, workshop Easy to shop, workshop The new standardization of AH store processes

Language: Dutch

Supplier: Internal trainers

Location: Ahold location

Overnight stay: No

Costs: € 0,00 per person. These costs will be charged to the cost center of your department.

Min-max group size:  16 participants - 36 participants.

Procedure to enroll: If course dates are available, you can register for one of these dates. If no course dates are available, click on “Request schedule” and then click on “Request” at the bottom of the page. You are now on the request list. The training will be organized once the minimum number of participants is reached. You will be notified of this.",,DO NOT USE,Score < threshold
,SimWriter Test Content,,Cannot be determined,,Score < threshold
,Excellence in Service: Fundamentals for Employees,"In ""Excellence in Service: Fundamentals for Employees,"" you will learn how to develop the skills needed to effectively relate to customers, fulfill their needs, and develop a positive customer service attitude. You will understand the importance of going beyond just ""satisfying"" customers. You will also differentiate between internal and external customer needs and understand the relationship between supporting your internal team and how it positively enables you to exceed your external customer's expectations.

(2 Hours)

",service center,DO NOT USE,0.7423581
,Standardization of AH store processes workshop,"Short introduction: This workshop is part of a series knowledge workshops for Region managers, Operational managers and HR Business partners of Albert Heijn store organization.

In this workshop the following topics will be covered:
- The standardization of Albert Heijn processes
- Analysis of own situation in comparance with the standardization
- How to explain the standardization to Supermarket manager

Required knowledge: workshop Finding the products you want, workshop Easy to shop, current standardization norms of Albert Heijn store processes

Language: Dutch

Supplier: Internal trainers

Location: Ahold location

Overnight stay: No

Costs: € 0,00 per person. These costs will be charged to the cost center of your department.

Min-max group size:  16 participants - 36 participants.

Procedure to enroll: If course dates are available, you can register for one of these dates. If no course dates are available, click on “Request schedule” and then click on “Request” at the bottom of the page. You are now on the request list. The training will be organized once the minimum number of participants is reached. You will be notified of this.",,DO NOT USE,Score < threshold
,Playing with figures,"This workshop is part of a series knowledge workshops for Region managers, Operational managers and HR Business partners of Albert Heijn store organization.

In this workshop the following topics will be covered:
- how to interpret and analyze results of a store
- distinguish between influencable and non influencable cost / income;
- how to link budget to formation
- ways to influence the results
- tools that might be used for this
- Insight how to control the process

Required knowledge: workshops Finding the products you want, workshop Easy to shop, workshop The new standardization of AH store processes, workshop Control and formation

Language: Dutch

Supplier: Internal trainers

Location: Ahold location

Overnight stay: No

Costs: € 0,00 per person. These costs will be charged to the cost center of your department.

Min-max group size:  16 participants - 36 participants.

Procedure to enroll: If course dates are available, you can register for one of these dates. If no course dates are available, click on “Request schedule” and then click on “Request” at the bottom of the page. You are now on the request list. The training will be organized once the minimum number of participants is reached. You will be notified of this.",,DO NOT USE,Score < threshold
,Basis Wijncursus,"Deze cursus is bedoeld voor het verbreden van productkennis over wijn.

Inhoud van de cursus:
- Uitleg en gebruik van het boek ‘Ontdek de wereld van wijn’
- Vinificatietechnieken
- Voorwaarden voor wijnbouw en druivenrassen
- Lezen en verklaren van wijnetiketten
- Wijn en spijs
- Proeftechnieken en proeven van rode en witte wijnen","Business, Finance, and Accountancy",,0.9393705
,Basis Gedistilleerdcursus,"Deze cursus is bedoeld voor het verbreden van productkennis over gedistilleerde dranken.

De cursus bestaat uit een combinatie van theorie en proeven. Bij de theorie wordt het productieproces behandeld van gedistilleerde dranken in het algemeen en daarnaast wordt dieper ingegaan op de productgroepen Jenever, Whisky, Cognac en overige gedistilleerde dranken.

Inhoud van de cursus:
- Toets 1e hoofdstuk boek ‘Smaak en geur, van jenever en whisky tot likeur’.
- Productieproces gedistilleerde dranken
- Cursus jenever/houtrijping
- Cursus whisky/cognac/overig gedistilleerd
- Proeven van gedistilleerde dranken
- Rondleiding distilleerderij","Business, Finance, and Accountancy",,0.9262177
,Finding the products you want / Easy to shop,"This workshop is part of a series knowledge workshops for Region managers, Operational managers and HR Business partners of Albert Heijn store organization.

In this workshop the following topics will be covered:
- Knowledge of processes Sales preparation and After sales
- Background why the processes are so arranged
- Quality of the process (not quantity)
- Critical process components
- Analysis of critical process components
- Recognize deviations to the desired situation and know what steps to improve it are possible

Required knowledge: induction recurring course (Assistant) Supermarket manager regarding Sales preparation and After Sales

Language: Dutch

Supplier: Internal trainers

Location: Ahold location

Overnight stay: No

Costs: € 0,00 per person. These costs will be charged to the cost center of your department.

Min-max group size:  16 participants - 36 participants.

Procedure to enroll:  you can register for one of the dates.",business,DO NOT USE,0.62782645
,Bedrijfskundig Leertraject Ahold (BKL),,Cannot be determined,,Score < threshold
,Bedrijfshulpverlening (BHV),"Theorie en praktijk cursus over de taken van een bedrijfshulpverlener

Inhoud van de training
- Toets over het boek ‘Bedrijfshulpverlener’
- Eerste hulp/lvensreddelnde handelingen bij diverse aandoeningen
- Communicatie en het melden van incidenten
- Beperken en bestrijden van een beginnende brand
- Taak van de bedrijfshulpverlener
- Ontruiming (ontruimingsplan, vluchtroutes, noodverlichting, etc.)

Bij deze training hoort zelfstudiemateriaal en een toets.",,DO NOT USE,Score < threshold
,Masterclass Wijn,"Naar behoefte van de deelnemers verbreedt deze cursus de kennis op het gebied van wijn.

De masterclass Wijn is het vervolg op de Basis Wijncursus en gaat dieper in op onder meer productie- en vinificatiemethoden en verschillende wijngebieden. 
Ook de praktijk wordt niet vergeten: u zult diverse wijnen kunnen proeven en beoordelen. Na deze dag hebt u aanmerkelijk meer kennis over het product, zodat u uw klanten beter van dienst kunt zijn. Wijn is naast malt whisky een product waarbij uw advies aan de klant en grote rol speelt.

Inhoud van de training:
- Herkomst van wijn
- Wijngebieden
- Vinificatiemethoden
- Proeven van wijnen",Information Technology,,0.87722665
,Masterclass Whisky,"Naar behoefte van de deelnemers verbreedt deze cursus de kennis op het gebied van whisky.

De masterclass Whisky geeft inzicht in whisky’s van de hele wereld. De nadruk wordt gelegd op Schotse malt whisky’s. Uiteraard zult u deze dag ook whisky gaan proeven, en u gaat zelf whisky blenden. Na deze dag hebt u aanmerkelijk meer kennis over het product, zodat u uw klanten beter van dienst kunt zijn. Malt whisky is naast wijn een product waarbij uw advies aan de klant en grote rol speelt.

Inhoud van de cursus:
- Toelichting op whisky’s uit de hele wereld
- Productkennis
- Productiemethoden
- Proeven
- Blenden",Information Technology,,0.698907
,Verantwoorde Verkoop van Alcohol,"Deze training is bedoeld voor alle winkelmedewerkers van Gall & Gall en 

Gall & Gall neemt haar maatschappelijke verantwoordelijkheid door een adequaat alcoholbeleid te voeren. 

Het doel is om de deelnemers kennis aan te bieden op het gebied van alcoholmisbruik en verslaving, alcoholgebruik op jonge leeftijd en de gevolgen hiervan, bepalingen uit de Drank- en Horecawet.

Daarnaast geven we inzicht in de gevolgen van alcoholgebruik en misbruik en leren medewerkers welke maatschappelijke rol zij zelf spelen als verkoper van alcohol. 

Ook ontwikkelen de deelnemers vaardigheden, waarna zij bewust kunnen omgaanmet jongeren welke drank willen kopen. Zijn ze in staat bij iedereen een id-check te doen en zijn ze in staat bewust iemand wel of geen alcohol te verkopen.  

Inhoud van de training:
- Kennis en feiten opdoen aan de hand van kennisquiz
- Voor- en nadelen alcoholgebruik (interactief)
- Theorie verkoop je wel of niet
- Rollenspelen
","Business, Finance, and Accountancy",,0.99871373
,Instruction for evacuation team HK96 Zaandam,"Short introduction:  with this e-learning, you learn all you need to know about safety and your role and responsibilities in evacuation of the HK96 Zaandam office.

Pre-requisite knowledge: no knowledge required

Language: Dutch

Duration: 15 minutes

Costs: € 0,00

Procedures to enroll: If you want to start the test at this moment, click the button ""go to content"". When you want to take this test later, then click the button ""add to learning plan""",workplace safety,DO NOT USE,0.93289065
,Blok 1 AKWM - Missie & Beleid,"Deze training is de start van de opleiding voor (aankomend) winkelmanagers (AKWM).

De deelnemers maken kennis met elkaar. Verwachtingen en doelstellingen van de opleiding worden gedeeld en de missie en visie van Gall & Gall wordt gedeeld. 

Inhoud van de training:
- Welkom en kennismaking
- Presentatie Visie & Beleid Gall & Gall
","Business, Finance, and Accountancy",,0.9000129
,Bakkery Basics,"Short introduction: In this e-learning you learn everything you need to know about the bakkery department. You learn about the processes and practicesof the department. You also learn about the machines that are used.

Pre-requisite knowledge: e-learning Sales Basics

Language: Dutch

Duration: 10 minutes

Procedure to enroll: To start the e-learning directly, click on “go to content”. To follow this e-learning at a later time, click “add to task list”.

Keywords: bakkery, bread, basic, sales",,DO NOT USE,Score < threshold
,Test Bakkery,"In this test your skills and knowledge about the bakkery department are tested. This test in combination with the final interview with your management is the wind-up of your training Bakkery Basics.

Pre-requisite knowledge: e-learning Sales Basics, e-learning Bakkery Basics, you know all the topics of the educationbooklet bakkery.

Language: Dutch

Procedure to enroll: To start the test directly, click on “go to content”. To take this test at a later time, click “add to task list”.

Keywords: bakkery, bread, test, sales, test bakkery",,DO NOT USE,Score < threshold
,Excellence in Service: Solving Customer Problems,"In ""Excellence in Service: Solving Customer Problems"" you will learn how to quickly identify the ""style"" of the customer so you can ""speak their language."" You will learn customer-friendly language that keeps the customer from becoming upset. You will also learn how to effectively solve customers' problems and benefit from their complaints.

(2 Hours)

",problem solving,DO NOT USE,0.7568707
,Blok 2 AKWM - Communicatieve Vaardigheden & Persoonlijke Effectiviteit,"Deze training is blok 2 van de opleiding voor (aankomend) winkelmanagers (AKWM).

In de training wordt er gewerkt met situaties uit de praktijk om zo bewust te worden van de eigen stijl van leidinggeven en hier flexibel mee om te leren gaan.

Inhoud van de training:
- Communicatie
- Communicatievaardigheden
  - Ontdekken, ontwikkelen en daarmee versterken van de communicatieve vaardigheden
- Feedback geven en ontvangen
   - Interviewen",Cannot be determined,,Score < threshold
,Blok 3 AKWM - Commercie en Formule,"Deze training is blok 3 van de opleiding voor (aankomend) winkelmanagers (AKWM).

De training leert de deelnemers over het commerciële beleid van de Gall & Gall formule. 

Inhoud van de training:
- Presentatie van de commercieel directeur over de Gall & Gall Formule 
",Information Technology,,0.392736
,Blok 3 AKWM - Winkelbeheer en automatisering,"Deze training is blok 3 van de opleiding voor (aankomend) winkelmanagers (AKWM).

De training leert de deelnemers over het winkelbeheer en de automatisering van de Gall & Gall formule.

Inhoud van de training:
- Winkelbeheer processen
- Automatiseringsystemen die gebruikt worden in Gall & Gall winkels
","Business, Finance, and Accountancy",,0.41361105
,HACCP Delivery Albert,"This HACCP test is meant for Delivery employees of Albert.nl. 

Language: Dutch

Procedures to enroll: If you want to start the test at this moment, click the button """"go to content"""". When you want to take this test later, then click the button """"add to learning plan"""".
",harassment,DO NOT USE,0.7309174
,Blok 5 AKWM: Logistiek,"Deze training is blok 5 van de opleiding voor (aankomend) winkelmanagers (AKWM).

Tijdens deze training leert de deelnemer meer over de logistieke processen en organisatie achter de Gall & Gall formule.

Inhoud van de training:
- Workshop Logistiek
- Rondleiding op een distributiecentrum
",Information Technology,,0.39591417
,Final Test Delivery Plus,"This test is meant for Delivery Plus Employees at Albert.nl and concludes the functional training for Delivery Plus Employees.

Language: Dutch

Procedure to enroll: To start the test directly, click on “go to content”. To take this test at a later time, click “add to task list”.
","Art, Design & Media",,0.65645796
,Blok 5 AKWM: Ondernemingsraad (OR),"Deze training is blok 5 van de opleiding voor (aankomend) winkelmanagers (AKWM).

Tijdens deze training leert de deelnemer over de Ondernemersraad van Gall & Gall en wat de betekenis is van dit orgaan voor medewerkers en winkelmanagers.

Inhoud van de training:
- Presentatie OR","Business, Finance, and Accountancy",,0.9039684
,Blok 6 AKWM: Financieel Beheer,"Deze training is blok 6 van de opleiding voor (aankomend) winkelmanagers (AKWM).

Deze training is gericht op het verkrijgen van inzicht in de verschillende financiele cijfers en rapportage waarmee de winkels van Gall & Gall werken. .

Inhoud van de training:
Op basis van theorie en verschillende cases worden de onderwerpen behandeld. 
- Periodiek Resultaat Overzicht Filialen
- Omzet
- Bruto winst
- Voorraadverschillen
- Afboekingen
- DC Kosten
- Loonsom
- Overige beïnvloedbare kosten
- OBK details
- Netto resultaat
- Voorraden
- Kengetallen
- Begroting
- Urennormering
",Humanities (Social sciences),,0.68193597
,Overview of the Types of Coaching Sessions,"Coaching patients has become a critical component of the role of a Pharmacist.

When our customers choose our Pharmacies, they expect trust, accuracy, and to be given any information that is pertinent to their health. As Pharmacists, we have an obligation to provide accurate information to our customers, and intervene or coach whenever necessary. This course will help you:


	Identify the 3 types of coaching sessions and locate the session type on a fax alert
	Understand the unique components of the different session types and goals for each session
	Combine different session types into one program
	Understand the importance of brand kits, training and next steps


Language:  English

Need help? Click here.

Keywords: Pharmay, RX, Patient",soft skills,Store Operations,0.7657245
,Blok 8 AKWM: Personeel & Organisatie,"Deze training is blok 8 van de opleiding voor (aankomend) winkelmanagers (AKWM).

Deze training is gericht op het verkrijgen van inzicht in de richtlijnen en procedures op gebied van personeel.

Inhoud van de training:
- wetgeving/procedures te hanteren voor het aannemen van medewerkers
- wetgeving/procedures toe te passen bij niet-functioneren van en ontslaan van medewerkers
- wetgeving/procedures bij ziekte toe te passen
- wetgeving/procedures bij wijziging contracten toe te passen
- de procedures bij personeelsadministratie toe te passen (perop)
- wetgeving/procedures rond arbeidsomstandigheden toe te passen.
",Information Technology,,0.21110004
,Blok 8 AKWM - Leidinggeven 1,"Deze training is blok 8 van de opleiding voor (aankomend) winkelmanagers (AKWM).

In de training wordt er gewerkt met situaties uit de praktijk om zo bewust te worden van de eigen stijl van leidinggeven en hier flexibel mee om te leren gaan.

Inhoud van de training:
- Leidinggeven
  - Eigen stijl van leidinggeven
  - Het voeren van werkoverleg
- Gespreksvormen
  - Selectiegesprekken
  - Functionering- en beoordelingsgesprekken",Cannot be determined,,Score < threshold
,Final Test Delivery Plus,"This test is meant for Delivery Plus Employees at Albert.nl and concludes the functional training for Delivery Plus Employees.
Language: Dutch
Procedure to enroll: To start the test directly, click on “go to content”. To take this test at a later time, click “add to task list”.
",,DO NOT USE,Score < threshold
,Blok 4 AKWM - Plannen en organiseren,"Deze training is blok 4 van de opleiding voor (aankomend) winkelmanagers (AKWM).

De functie van Winkelmanager is erg veelzijdig. De Winkelmanager moet niet alleen als vakinhoudelijke expert klanten helpen, maar moet er ook voor zorgen dat allerlei zaken om dat goed te kunnen doen, geregeld zijn. Bestellen, vullen, personeel inplannen, promotiemateriaal bijhouden, gesprekken met de OM en collega’s voeren, etc. Plannen & Organiseren gaat de (Aankomend) Winkelmanager hierbij helpen.

Inhoud van de training:
- Timemanagement
- Urenplanning
","Business, Finance, and Accountancy",,0.29081112
,Workstation Security ,Workstation Security,security,DO NOT USE,0.98995656
,Excellence in Service: Working with Upset Customers,"In ""Excellence in Service: Working with Upset Customers,"" you will learn how to successfully handle customers when they are upset, calm upset customers, and deal with abusive customers. In addition, you will learn how your own emotions affect your interactions with customers and how to reduce your stress.

(2 Hours)

",service center,DO NOT USE,0.7514831
,Blok 9 AKWM - Eindopdracht,"Deze training is het afsluitende blok 9 van de opleiding voor (aankomend) winkelmanagers (AKWM).

In dit blok wordt de deelnemer getoetst aan de hand van een praktijkopdracht dat hij het geleerde uit alle andere opleidingsblokken om kan zetten in de praktijk.","Business, Finance, and Accountancy",,0.27540562
